exp,run,mean_last20,mean_all,max,std,loss_mean
2x128,1,105.25,39.38666666666666,203.0,37.29830857052666,0.04224325511833638
2x128,2,53.85,38.57666666666667,175.0,31.348324605240958,0.03852195548998228
2x128,3,105.45,36.51,266.0,34.93436560179675,0.045523096076407386
2x64,1,122.25,55.47666666666667,278.0,52.283803631930056,0.05614478740116293
2x64,2,58.8,37.37,241.0,33.80591319084084,0.054489107323684144
2x64,3,116.9,59.14666666666667,298.0,58.94595113793275,0.03820712980866952
3x128,1,113.7,55.28666666666667,328.0,46.89155384738516,0.08549279253974021
3x128,2,129.15,55.473333333333336,189.0,50.872218569885696,0.0691746486812573
3x128,3,141.6,73.78333333333333,232.0,61.35272112049219,0.05036631096650055
1x256,1,72.15,29.74,197.0,25.867335901995528,0.08207755242531935
1x256,2,124.6,51.81,274.0,41.84830422689391,0.06338107789788622
1x256,3,97.5,39.54333333333334,188.0,37.44366598267619,0.06526287113550544
